EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,URTARRILA 2019 ENERO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
10,M,00 08 ,"0,93 ",3,0,12 24 ,"1,07 ",3,6
11,J,00 54 ,"1,12 ",3,8,13 13 ,"1,29 ",4,2
12,,01 52 ,"1,31 ",4,3,14 16 ,"1,50 ",4 11,
13,S,03 08 ,"1,44 ",4,8,15 40 ,"1,59 ",5,2
14,D,04 38 ,"1,39 ",4,6,17 09 ,"1,49 ",4 10,
15,L,05 57 ,"1,16 ",3,9,18 20 ,"1,22 ",4,0
16,M,06 59 ,"0,85 ",2,9,19 17 ,"0,90 ",2 11,
17,M,07 50 ,"0,56 ",1,10,20 05 ,"0,61 ",2,0
18,J,08 35 ,"0,35 ",1,1,20 50 ,"0,40 ",1,3
19,,09 18 ,"0,25 ",0,9,21 33 ,"0,30 ",0 11,
20,S,09 59 ,"0,28 ",0,11,22 15 ,"0,32 ",1,0
21,D,10 38 ,"0,42 ",1,4,22 57 ,"0,45 ",1,5
22,L,11 18 ,"0,64 ",2,1,23 39 ,"0,67 ",2,2
23,M,11 58 ,"0,92 ",3,0,— ,— ,— ,—
24,M,00 22 ,"0,94 ",3,1,12 41 ,"1,22 ",4,0
25,J,01 10 ,"1,23 ",4,0,13 29 ,"1,50 ",4 11,
26,,02 06 ,"1,48 ",4,10,14 31 ,"1,72 ",5,7
27,S,03 16 ,"1,65 ",5,4,15 51 ,"1,83 ",6,0
28,D,04 37 ,"1,68 ",5,6,17 11 ,"1,77 ",5,9
29,L,05 49 ,"1,57 ",5,1,18 14 ,"1,61 ",5,3
30,M,06 42 ,"1,40 ",4,7,19 02 ,"1,41 ",4,7
EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,,MAIATZA 2019 MAYO,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
1,M,01 13 ,"3,59 ",11,9,13 40 ,"3,58 ",11,8
2,J,01 51 ,"3,78 ",12,4,14 13 ,"3,77 ",12,4
3,V,02 26 ,"3,95 ",12,11,14 45 ,"3,95 ",12 11,
4,,03 00 ,"4,09 ",13,5,15 16 ,"4,09 ",13,5
5,D,03 33 ,"4,18 ",13,8,15 49 ,"4,17 ",13,8
6,L,04 08 ,"4,21 ",13,9,16 23 ,"4,20 ",13,9
7,M,04 46 ,"4,16 ",13,7,16 59 ,"4,16 ",13,7
8,M,05 26 ,"4,04 ",13,3,17 40 ,"4,05 ",13,3
9,J,06 11 ,"3,87 ",12,8,18 28 ,"3,89 ",12,9
10,V,07 05 ,"3,66 ",12,0,19 26 ,"3,71 ",12,2
11,S,08 12 ,"3,47 ",11,4,20 38 ,"3,58 ",11,8
12,,09 33 ,"3,39 ",11,1,22 01 ,"3,56 ",11,8
13,L,10 54 ,"3,46 ",11,4,23 18 ,"3,67 ",12,0
14,M,12 02 ,"3,65 ",11,11,— ,— ,— ,—
15,M,00 23 ,"3,87 ",12,8,12 58 ,"3,88 ",12,8
16,J,01 18 ,"4,07 ",13,4,13 47 ,"4,08 ",13,4
17,V,02 07 ,"4,23 ",13,10,14 30 ,"4,24 ",13 10,
18,,02 51 ,"4,31 ",14,1,15 11 ,"4,32 ",14,2
19,D,03 33 ,"4,31 ",14,1,15 51 ,"4,33 ",14,2
